# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 31K of event 'L1-dcache-load-misses:u'
# Event count (approx.): 729337502
#
# Overhead  Command   Shared Object  Symbol            
# ........  ........  .............  ..................
#
    10.89%  npb_bt_a  npb_bt_a          [.] compute_rhs
     9.13%  npb_bt_a  npb_bt_a          [.] binvcrhs
     2.88%  npb_bt_a  npb_bt_a          [.] matmul_sub
     0.18%  npb_bt_a  npb_bt_a          [.] add
     0.06%  npb_bt_a  npb_bt_a          [.] exact_solution
     0.06%  npb_bt_a  npb_bt_a          [.] binvrhs
     0.02%  npb_bt_a  npb_bt_a          [.] exact_rhs
     0.01%  npb_bt_a  npb_bt_a          [.] lhsinit
     0.00%  npb_bt_a  libc-2.28.so      [.] printf
     0.00%  npb_bt_a  npb_bt_a          [.] error_norm
     0.00%  npb_bt_a  [unknown]         [k] 0xffffffffb8e00278
     0.00%  npb_bt_a  npb_bt_a          [.] initialize


# Samples: 42K of event 'dTLB-loads:u'
# Event count (approx.): 22224960041
#
# Overhead  Command   Shared Object  Symbol            
# ........  ........  .............  ..................
#
    36.15%  npb_bt_a  npb_bt_a       [.] binvcrhs
    25.66%  npb_bt_a  npb_bt_a       [.] matmul_sub
     8.67%  npb_bt_a  npb_bt_a       [.] z_solve
     8.50%  npb_bt_a  npb_bt_a       [.] x_solve
     8.41%  npb_bt_a  npb_bt_a       [.] y_solve
     6.73%  npb_bt_a  npb_bt_a       [.] compute_rhs
     5.22%  npb_bt_a  npb_bt_a       [.] matvec_sub
     0.22%  npb_bt_a  npb_bt_a       [.] binvrhs
     0.20%  npb_bt_a  npb_bt_a       [.] exact_solution
     0.15%  npb_bt_a  npb_bt_a       [.] add
     0.06%  npb_bt_a  npb_bt_a       [.] exact_rhs
     0.02%  npb_bt_a  npb_bt_a       [.] error_norm
     0.01%  npb_bt_a  npb_bt_a       [.] lhsinit
     0.01%  npb_bt_a  npb_bt_a       [.] initialize


# Samples: 13K of event 'dTLB-store-misses:u'
# Event count (approx.): 261280
#
# Overhead  Command   Shared Object  Symbol            
# ........  ........  .............  ..................
#
    28.74%  npb_bt_a  npb_bt_a       [.] binvcrhs
    27.54%  npb_bt_a  npb_bt_a       [.] matvec_sub
    14.14%  npb_bt_a  npb_bt_a       [.] compute_rhs
    12.77%  npb_bt_a  npb_bt_a       [.] z_solve
     5.48%  npb_bt_a  npb_bt_a       [.] y_solve
     4.57%  npb_bt_a  npb_bt_a       [.] x_solve
     3.68%  npb_bt_a  npb_bt_a       [.] matmul_sub
     2.73%  npb_bt_a  npb_bt_a       [.] lhsinit
     0.13%  npb_bt_a  npb_bt_a       [.] add
     0.09%  npb_bt_a  npb_bt_a       [.] binvrhs
     0.08%  npb_bt_a  npb_bt_a       [.] exact_rhs
     0.05%  npb_bt_a  npb_bt_a       [.] initialize
     0.02%  npb_bt_a  npb_bt_a       [.] exact_solution


# Samples: 41K of event 'dTLB-stores:u'
# Event count (approx.): 10520930525
#
# Overhead  Command   Shared Object  Symbol            
# ........  ........  .............  ..................
#
    37.83%  npb_bt_a  npb_bt_a       [.] binvcrhs
    16.67%  npb_bt_a  npb_bt_a       [.] x_solve
    16.66%  npb_bt_a  npb_bt_a       [.] y_solve
    16.31%  npb_bt_a  npb_bt_a       [.] z_solve
     5.29%  npb_bt_a  npb_bt_a       [.] matmul_sub
     3.79%  npb_bt_a  npb_bt_a       [.] compute_rhs
     2.51%  npb_bt_a  npb_bt_a       [.] matvec_sub
     0.48%  npb_bt_a  npb_bt_a       [.] lhsinit
     0.22%  npb_bt_a  npb_bt_a       [.] binvrhs
     0.16%  npb_bt_a  npb_bt_a       [.] add
     0.05%  npb_bt_a  npb_bt_a       [.] exact_solution
     0.04%  npb_bt_a  npb_bt_a       [.] exact_rhs
     0.00%  npb_bt_a  npb_bt_a       [.] initialize


# Samples: 94  of event 'iTLB-load-misses:u'
# Event count (approx.): 1266
#
# Overhead  Command   Shared Object  Symbol                          
# ........  ........  .............  ................................
#
    17.93%  npb_bt_a  npb_bt_a       [.] compute_rhs
    15.48%  npb_bt_a  npb_bt_a       [.] lhsinit
    13.27%  npb_bt_a  npb_bt_a       [.] x_solve
    11.14%  npb_bt_a  npb_bt_a       [.] adi
     9.95%  npb_bt_a  npb_bt_a       [.] y_solve
     9.08%  npb_bt_a  npb_bt_a       [.] add
     4.42%  npb_bt_a  npb_bt_a       [.] binvcrhs
     4.42%  npb_bt_a  npb_bt_a       [.] z_solve
     3.32%  npb_bt_a  npb_bt_a       [.] matmul_sub
     2.92%  npb_bt_a  libc-2.28.so   [.] _IO_file_xsputn@@GLIBC_2.2.5
     2.21%  npb_bt_a  npb_bt_a       [.] binvrhs
     2.21%  npb_bt_a  npb_bt_a       [.] main
     1.11%  npb_bt_a  libc-2.28.so   [.] printf
     1.11%  npb_bt_a  libc-2.28.so   [.] vfprintf
     1.11%  npb_bt_a  npb_bt_a       [.] matvec_sub
     0.16%  npb_bt_a  npb_bt_a       [.] exact_rhs
     0.16%  npb_bt_a  npb_bt_a       [.] exact_solution


# Samples: 42K of event 'iTLB-loads:u'
# Event count (approx.): 54684757671
#
# Overhead  Command   Shared Object  Symbol            
# ........  ........  .............  ..................
#
    34.33%  npb_bt_a  npb_bt_a       [.] binvcrhs
    16.76%  npb_bt_a  npb_bt_a       [.] matmul_sub
    11.91%  npb_bt_a  npb_bt_a       [.] z_solve
    11.85%  npb_bt_a  npb_bt_a       [.] x_solve
    11.71%  npb_bt_a  npb_bt_a       [.] y_solve
     8.72%  npb_bt_a  npb_bt_a       [.] compute_rhs
     4.04%  npb_bt_a  npb_bt_a       [.] matvec_sub
     0.19%  npb_bt_a  npb_bt_a       [.] binvrhs
     0.16%  npb_bt_a  npb_bt_a       [.] add
     0.15%  npb_bt_a  npb_bt_a       [.] exact_solution
     0.11%  npb_bt_a  npb_bt_a       [.] lhsinit
     0.05%  npb_bt_a  npb_bt_a       [.] exact_rhs
     0.02%  npb_bt_a  npb_bt_a       [.] initialize


# Samples: 3  of event 'node-load-misses:u'
# Event count (approx.): 15
#
# Overhead  Command   Shared Object  Symbol      
# ........  ........  .............  ............
#
   100.00%  npb_bt_a  libc-2.28.so   [.] vfprintf


# Samples: 29K of event 'node-loads:u'
# Event count (approx.): 45006755
#
# Overhead  Command   Shared Object     Symbol                
# ........  ........  ................  ......................
#
    42.00%  npb_bt_a  npb_bt_a          [.] compute_rhs
    18.87%  npb_bt_a  npb_bt_a          [.] y_solve
    13.34%  npb_bt_a  npb_bt_a          [.] z_solve
     8.71%  npb_bt_a  npb_bt_a          [.] add
     6.05%  npb_bt_a  npb_bt_a          [.] matmul_sub
     5.88%  npb_bt_a  npb_bt_a          [.] matvec_sub
     3.31%  npb_bt_a  npb_bt_a          [.] binvcrhs
     1.21%  npb_bt_a  npb_bt_a          [.] x_solve
     0.61%  npb_bt_a  npb_bt_a          [.] lhsinit
     0.02%  npb_bt_a  npb_bt_a          [.] binvrhs
     0.00%  npb_bt_a  [unknown]         [k] 0xffffffffb8e01c80
     0.00%  npb_bt_a  npb_bt_a          [.] exact_rhs
     0.00%  npb_bt_a  npb_bt_a          [.] exact_solution


# Samples: 26  of event 'node-prefetch-misses:u'
# Event count (approx.): 26
#
# Overhead  Command   Shared Object  Symbol         
# ........  ........  .............  ...............
#
    69.23%  npb_bt_a  npb_bt_a       [.] compute_rhs
    15.38%  npb_bt_a  npb_bt_a       [.] adi
     7.69%  npb_bt_a  npb_bt_a       [.] add
     3.85%  npb_bt_a  libc-2.28.so   [.] vfprintf
     3.85%  npb_bt_a  npb_bt_a       [.] y_solve


# Samples: 3K of event 'node-prefetches:u'
# Event count (approx.): 34484636
#
# Overhead  Command   Shared Object  Symbol                           
# ........  ........  .............  .................................
#
    80.80%  npb_bt_a  npb_bt_a       [.] compute_rhs
     8.64%  npb_bt_a  npb_bt_a       [.] x_solve
     6.45%  npb_bt_a  npb_bt_a       [.] add
     2.07%  npb_bt_a  npb_bt_a       [.] matmul_sub
     1.45%  npb_bt_a  npb_bt_a       [.] binvcrhs
     0.26%  npb_bt_a  npb_bt_a       [.] matvec_sub
     0.17%  npb_bt_a  npb_bt_a       [.] lhsinit
     0.06%  npb_bt_a  npb_bt_a       [.] main
     0.06%  npb_bt_a  libc-2.28.so   [.] __memmove_sse2_unaligned_erms
     0.04%  npb_bt_a  npb_bt_a       [.] y_solve
     0.00%  npb_bt_a  npb_bt_a       [.] exact_solution


# Samples: 274  of event 'node-stores:u'
# Event count (approx.): 1652548
#
# Overhead  Command   Shared Object  Symbol            
# ........  ........  .............  ..................
#
    99.92%  npb_bt_a  npb_bt_a       [.] compute_rhs
     0.06%  npb_bt_a  npb_bt_a       [.] exact_solution
     0.01%  npb_bt_a  npb_bt_a       [.] z_solve


#
# (Tip: Customize output of perf script with: perf script -F event,ip,sym)
#
